,Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
2611,Castor seed,2008,Kharif     ,Karnataka,19635.0,18618,1164.1,2808590.4,1767.15,0.96826087
2613,Coriander,2008,Whole Year ,Karnataka,7415.0,4002,1164.1,1060641.6,667.35,0.549545455
2615,Dry chillies,2008,Kharif     ,Karnataka,109185.0,50000,1164.1,15617822.4,9826.65,1.025714286
2616,Dry chillies,2008,Rabi       ,Karnataka,5903.0,10002,1164.1,844365.12,531.27,1.681111111
2617,Dry chillies,2008,Summer     ,Karnataka,7225.0,23701,1164.1,1033464.0,650.25,3.233076923
2618,Garlic,2008,Whole Year ,Karnataka,5625.0,12378,1164.1,804600.0,506.25,2.644285714
2621,Groundnut,2008,Kharif     ,Karnataka,694390.0,50000,1164.1,99325545.6,62495.1,0.56962963
2622,Groundnut,2008,Rabi       ,Karnataka,155886.0,50000,1164.1,22297933.44,14029.74,0.898928571
2623,Horse-gram,2008,Kharif     ,Karnataka,94450.0,42718,1164.1,13510128.0,8500.5,0.4976
2624,Horse-gram,2008,Rabi       ,Karnataka,122164.0,45265,1164.1,17474338.56,10994.76,0.416428571
2627,Jowar,2008,Summer     ,Karnataka,4882.0,11110,1164.1,698321.28,439.38,2.2125
2628,Linseed,2008,Rabi       ,Karnataka,13549.0,5112,1164.1,1938048.96,1219.41,0.4
2631,Maize,2008,Summer     ,Karnataka,27868.0,50000,1164.1,3986238.72,2508.12,3.073928571
2632,Mesta,2008,Whole Year ,Karnataka,1146.0,1617,1164.1,163923.84,103.14,1.636
2633,Moong(Green Gram),2008,Kharif     ,Karnataka,266386.0,36587,1164.1,38103853.44,23974.74,0.141304348
2634,Moong(Green Gram),2008,Rabi       ,Karnataka,8293.0,2120,1164.1,1186230.72,746.37,0.267857143
2635,Niger seed,2008,Kharif     ,Karnataka,25337.0,8678,1164.1,3624204.48,2280.33,0.3416
2637,Onion,2008,Rabi       ,Karnataka,13415.0,50000,1164.1,1918881.6,1207.35,6.771363636
2638,Onion,2008,Summer     ,Karnataka,3775.0,20587,1164.1,539976.0,339.75,5.57952381
2639,Other  Rabi pulses,2008,Rabi       ,Karnataka,30396.0,8896,1164.1,4347843.84,2735.64,0.290714286
2640,Other Kharif pulses,2008,Kharif     ,Karnataka,132310.0,50000,1164.1,18925622.4,11907.9,0.77
2641,Potato,2008,Kharif     ,Karnataka,67728.0,50000,1164.1,9687813.12,6095.52,2.449411765
2642,Potato,2008,Rabi       ,Karnataka,6060.0,50000,1164.1,866822.4,545.4,15.515
2643,Potato,2008,Summer     ,Karnataka,1907.0,30684,1164.1,272777.28,171.63,15.96333333
2645,Ragi,2008,Rabi       ,Karnataka,34210.0,47819,1164.1,4893398.4,3078.9,1.6925
2646,Ragi,2008,Summer     ,Karnataka,8970.0,17809,1164.1,1283068.8,807.3,1.926
2647,Rapeseed &Mustard,2008,Rabi       ,Karnataka,4573.0,1836,1164.1,654121.92,411.57,0.3875
2649,Rice,2008,Rabi       ,Karnataka,40982.0,50000,1164.1,5862065.28,3688.38,2.514166667
2651,Safflower,2008,Rabi       ,Karnataka,73376.0,50000,1164.1,10495703.04,6603.84,0.772857143
2652,Sannhamp,2008,Whole Year ,Karnataka,266.0,66,1164.1,38048.64,23.94,0.243333333
2653,Sesamum,2008,Kharif     ,Karnataka,56234.0,28745,1164.1,8043711.36,5061.06,0.50962963
2654,Soyabean,2008,Kharif     ,Karnataka,134183.0,50000,1164.1,19193536.32,12076.47,0.746363636
2656,Sunflower,2008,Kharif     ,Karnataka,441753.0,50000,1164.1,63188349.12,39757.77,0.4992
2657,Sunflower,2008,Rabi       ,Karnataka,517061.0,50000,1164.1,73960405.44,46535.49,0.567727273
2658,Sunflower,2008,Summer     ,Karnataka,42201.0,33674,1164.1,6036431.04,3798.09,0.857619048
2659,Sweet potato,2008,Whole Year ,Karnataka,2592.0,26230,1164.1,370759.68,233.28,10.14066667
2660,Tapioca,2008,Whole Year ,Karnataka,872.0,8464,1164.1,124730.88,78.48,9.78875
2661,Tobacco,2008,Whole Year ,Karnataka,108139.0,50000,1164.1,15468202.56,9732.51,0.584375
2662,Turmeric,2008,Whole Year ,Karnataka,14159.0,50000,1164.1,2025303.36,1274.31,4.191052632
2663,Urad,2008,Kharif     ,Karnataka,101121.0,27017,1164.1,14464347.84,9100.89,0.274782609
2664,Urad,2008,Rabi       ,Karnataka,10540.0,4588,1164.1,1507641.6,948.6,0.43
2665,Wheat,2008,Rabi       ,Karnataka,268600.0,50000,1164.1,38420544.0,24174.0,1.012857143
2666,Arecanut,2008,Whole Year ,Kerala,97492.0,50000,2524.8,13945255.68,8774.28,1.047142857
2668,Black pepper,2008,Whole Year ,Kerala,153711.0,33991,2524.8,21986821.44,13833.99,0.182857143
2669,Cardamom,2008,Whole Year ,Kerala,41588.0,8550,2524.8,5948747.52,3742.92,0.061111111
2670,Cashewnut,2008,Whole Year ,Kerala,53007.0,42334,2524.8,7582121.28,4770.63,0.518571429
2672,Cotton(lint),2008,Kharif     ,Kerala,1152.0,1498,2524.8,164782.08,103.68,1.3
2673,Garlic,2008,Whole Year ,Kerala,320.0,5440,2524.8,45772.8,28.8,17.0
2674,Ginger,2008,Whole Year ,Kerala,7421.0,30809,2524.8,1061499.84,667.89,3.17
2675,Groundnut,2008,Kharif     ,Kerala,1733.0,1282,2524.8,247888.32,155.97,0.74
2676,Jowar,2008,Kharif     ,Kerala,2306.0,1177,2524.8,329850.24,207.54,0.6525
2677,Other Cereals,2008,Kharif     ,Kerala,371.0,290,2524.8,53067.84,33.39,0.91
2678,Ragi,2008,Kharif     ,Kerala,608.0,492,2524.8,86968.32,54.72,0.856
2679,Rice,2008,Autumn     ,Kerala,79381.0,50000,2524.8,11354658.24,7144.29,2.295384615
2680,Rice,2008,Summer     ,Kerala,49762.0,50000,2524.8,7117956.48,4478.58,2.446428571
2681,Rice,2008,Winter     ,Kerala,105122.0,50000,2524.8,15036650.88,9460.98,2.260714286
2682,Sesamum,2008,Kharif     ,Kerala,576.0,308,2524.8,82391.04,51.84,0.465714286
2683,Sugarcane,2008,Whole Year ,Kerala,3392.0,50000,2524.8,485191.68,305.28,73.525
2684,Sweet potato,2008,Whole Year ,Kerala,386.0,4827,2524.8,55213.44,34.74,11.5
2686,Tobacco,2008,Whole Year ,Kerala,39.0,63,2524.8,5578.56,3.51,1.62
2687,Turmeric,2008,Whole Year ,Kerala,2782.0,6364,2524.8,397937.28,250.38,2.169285714
2688,Arecanut,2008,Whole Year ,Meghalaya,12632.0,17400,3114.3,1806881.28,1136.88,1.244285714
2689,Arhar/Tur,2008,Kharif     ,Meghalaya,794.0,627,3114.3,113573.76,71.46,0.796666667
2690,Banana,2008,Whole Year ,Meghalaya,6522.0,50000,3114.3,932906.88,586.98,10.37428571
2691,Black pepper,2008,Rabi       ,Meghalaya,884.0,462,3114.3,126447.36,79.56,0.514285714
2692,Castor seed,2008,Kharif     ,Meghalaya,29.0,17,3114.3,4148.16,2.61,0.686666667
2693,Cotton(lint),2008,Kharif     ,Meghalaya,7106.0,5617,3114.3,1016442.24,639.54,0.823333333
2694,Dry chillies,2008,Whole Year ,Meghalaya,1875.0,1423,3114.3,268200.0,168.75,0.97
2695,Ginger,2008,Kharif     ,Meghalaya,9283.0,50000,3114.3,1327840.32,835.47,6.414285714
2696,Gram,2008,Rabi       ,Meghalaya,530.0,330,3114.3,75811.2,47.7,0.616666667
2697,Jute,2008,Kharif     ,Meghalaya,3951.0,34588,3114.3,565151.04,355.59,6.31
2698,Linseed,2008,Rabi       ,Meghalaya,90.0,43,3114.3,12873.6,8.1,0.48
2699,Maize,2008,Kharif     ,Meghalaya,17117.0,25716,3114.3,2448415.68,1540.53,1.545714286
2700,Mesta,2008,Kharif     ,Meghalaya,4176.0,19046,3114.3,597335.04,375.84,4.563333333
2701,Other  Rabi pulses,2008,Rabi       ,Meghalaya,2215.0,2276,3114.3,316833.6,199.35,1.028571429
2702,Potato,2008,Whole Year ,Meghalaya,17690.0,50000,3114.3,2530377.6,1592.1,7.417142857
2703,Rapeseed &Mustard,2008,Rabi       ,Meghalaya,7197.0,4906,3114.3,1029458.88,647.73,0.651428571
2704,Rice,2008,Autumn     ,Meghalaya,32570.0,41908,3114.3,4658812.8,2931.3,1.53
2705,Rice,2008,Summer     ,Meghalaya,12752.0,46600,3114.3,1824046.08,1147.68,2.154285714
2706,Rice,2008,Winter     ,Meghalaya,62723.0,50000,3114.3,8971897.92,5645.07,1.802857143
2707,Sesamum,2008,Kharif     ,Meghalaya,1623.0,891,3114.3,232153.92,146.07,0.658333333
2708,Small millets,2008,Kharif     ,Meghalaya,2442.0,2051,3114.3,349303.68,219.78,1.011428571
2709,Soyabean,2008,Kharif     ,Meghalaya,1055.0,1163,3114.3,150907.2,94.95,1.061428571
2710,Sugarcane,2008,Whole Year ,Meghalaya,92.0,250,3114.3,13159.68,8.28,2.316
2711,Sweet potato,2008,Whole Year ,Meghalaya,4895.0,15909,3114.3,700180.8,440.55,3.648571429
2712,Tapioca,2008,Whole Year ,Meghalaya,4187.0,21773,3114.3,598908.48,376.83,6.267142857
2713,Tobacco,2008,Whole Year ,Meghalaya,664.0,436,3114.3,94978.56,59.76,0.7275
2714,Turmeric,2008,Whole Year ,Meghalaya,1959.0,10046,3114.3,280215.36,176.31,4.862857143
2715,Wheat,2008,Rabi       ,Meghalaya,416.0,739,3114.3,59504.64,37.44,1.245
2716,Arecanut,2008,Whole Year ,Tamil Nadu,5612.0,11061,1201.9,802740.48,505.08,1.708333333
2717,Arhar/Tur,2008,Whole Year ,Tamil Nadu,27483.0,16703,1201.9,3931168.32,2473.47,0.606923077
2718,Bajra,2008,Whole Year ,Tamil Nadu,56672.0,50000,1201.9,8106362.88,5100.48,2.5968
2720,Black pepper,2008,Whole Year ,Tamil Nadu,3122.0,716,1201.9,446570.88,280.98,0.155
2721,Cardamom,2008,Whole Year ,Tamil Nadu,4051.0,370,1201.9,579455.04,364.59,0.094
2722,Cashewnut,2008,Whole Year ,Tamil Nadu,99168.0,50000,1201.9,14184990.72,8925.12,338.5489655
2723,Castor seed,2008,Whole Year ,Tamil Nadu,5523.0,1702,1201.9,790009.92,497.07,0.322222222
2725,Coriander,2008,Whole Year ,Tamil Nadu,14139.0,4815,1201.9,2022442.56,1272.51,0.357826087
2726,Cotton(lint),2008,Whole Year ,Tamil Nadu,114516.0,50000,1201.9,16380368.64,10306.44,1.797586207
2727,Dry chillies,2008,Whole Year ,Tamil Nadu,65412.0,32924,1201.9,9356532.48,5887.08,0.651290323
2728,Garlic,2008,Whole Year ,Tamil Nadu,351.0,2067,1201.9,50207.04,31.59,5.76
2729,Ginger,2008,Whole Year ,Tamil Nadu,817.0,16340,1201.9,116863.68,73.53,20.0
2730,Gram,2008,Whole Year ,Tamil Nadu,6852.0,4355,1201.9,980110.08,616.68,0.534761905
2732,Horse-gram,2008,Whole Year ,Tamil Nadu,44749.0,21052,1201.9,6400896.96,4027.41,0.459230769
2733,Jowar,2008,Whole Year ,Tamil Nadu,258876.0,50000,1201.9,37029623.04,23298.84,1.152142857
2735,Moong(Green Gram),2008,Whole Year ,Tamil Nadu,138598.0,31336,1201.9,19825057.92,12473.82,0.336333333
2736,Onion,2008,Whole Year ,Tamil Nadu,30255.0,50000,1201.9,4327675.2,2722.95,10.1544
2737,Potato,2008,Whole Year ,Tamil Nadu,4367.0,50000,1201.9,624655.68,393.03,19.39
2738,Ragi,2008,Whole Year ,Tamil Nadu,90079.0,50000,1201.9,12884900.16,8107.11,2.228928571
2739,Rapeseed &Mustard,2008,Whole Year ,Tamil Nadu,257.0,63,1201.9,36761.28,23.13,0.282222222
2741,Sesamum,2008,Whole Year ,Tamil Nadu,63693.0,32242,1201.9,9110646.72,5732.37,0.467777778
2742,Small millets,2008,Kharif     ,Tamil Nadu,33512.0,25697,1201.9,4793556.48,3016.08,1.742
2744,Sunflower,2008,Whole Year ,Tamil Nadu,25755.0,34356,1201.9,3683995.2,2317.95,1.768571429
2745,Sweet potato,2008,Whole Year ,Tamil Nadu,658.0,8743,1201.9,94120.32,59.22,13.52565217
2747,Tobacco,2008,Whole Year ,Tamil Nadu,5379.0,8214,1201.9,769412.16,484.11,1.593333333
2748,Turmeric,2008,Whole Year ,Tamil Nadu,29875.0,50000,1201.9,4273320.0,2688.75,5.326296296
2749,Urad,2008,Whole Year ,Tamil Nadu,263671.0,50000,1201.9,37715499.84,23730.39,0.666666667
2750,Arecanut,2008,Whole Year ,West Bengal,11394.0,21157,1560.1,1629797.76,1025.46,1.623888889
2751,Arhar/Tur,2008,Rabi       ,West Bengal,629.0,530,1560.1,89972.16,56.61,0.813333333
2752,Bajra,2008,Kharif     ,West Bengal,75.0,26,1560.1,10728.0,6.75,0.35
2753,Barley,2008,Rabi       ,West Bengal,2768.0,4202,1560.1,395934.72,249.12,1.641666667
2754,Cardamom,2008,Whole Year ,West Bengal,245.0,704,1560.1,35044.8,22.05,2.87
2755,Castor seed,2008,Kharif     ,West Bengal,60.0,37,1560.1,8582.4,5.4,0.62
2757,Cotton(lint),2008,Kharif     ,West Bengal,2780.0,6023,1560.1,397651.2,250.2,2.32875
2758,Dry chillies,2008,Whole Year ,West Bengal,63249.0,50000,1560.1,9047136.96,5692.41,1.427777778
2759,Ginger,2008,Kharif     ,West Bengal,11131.0,23832,1560.1,1592178.24,1001.79,1.812222222
2760,Gram,2008,Rabi       ,West Bengal,21692.0,22543,1560.1,3102823.68,1952.28,1.025833333
2761,Groundnut,2008,Kharif     ,West Bengal,2413.0,2264,1560.1,345155.52,217.17,1.042
2762,Groundnut,2008,Rabi       ,West Bengal,13860.0,23576,1560.1,1982534.4,1247.4,1.424166667
2763,Groundnut,2008,Summer     ,West Bengal,51924.0,50000,1560.1,7427208.96,4673.16,1.550555556
2764,Horse-gram,2008,Rabi       ,West Bengal,1897.0,940,1560.1,271346.88,170.73,0.489
2765,Jowar,2008,Kharif     ,West Bengal,1126.0,469,1560.1,161063.04,101.34,0.4
2767,Khesari,2008,Rabi       ,West Bengal,27743.0,17412,1560.1,3968358.72,2496.87,0.619375
2768,Linseed,2008,Rabi       ,West Bengal,4565.0,1130,1560.1,652977.6,410.85,0.218
2769,Maize,2008,Autumn     ,West Bengal,36843.0,50000,1560.1,5270022.72,3315.87,2.369090909
2770,Maize,2008,Rabi       ,West Bengal,17955.0,50000,1560.1,2568283.2,1615.95,3.217272727
2771,Maize,2008,Summer     ,West Bengal,35976.0,50000,1560.1,5146007.04,3237.84,2.743529412
2772,Masoor,2008,Rabi       ,West Bengal,49712.0,32428,1560.1,7110804.48,4474.08,0.617058824
2773,Mesta,2008,Kharif     ,West Bengal,7908.0,50000,1560.1,1131160.32,711.72,8.777
2774,Moong(Green Gram),2008,Kharif     ,West Bengal,1079.0,989,1560.1,154340.16,97.11,0.681428571
2775,Moong(Green Gram),2008,Rabi       ,West Bengal,1570.0,1016,1560.1,224572.8,141.3,0.628181818
2776,Moong(Green Gram),2008,Summer     ,West Bengal,12168.0,6091,1560.1,1740510.72,1095.12,0.75
2777,Niger seed,2008,Kharif     ,West Bengal,5000.0,3297,1560.1,715200.0,450.0,0.548571429
2778,Other  Rabi pulses,2008,Rabi       ,West Bengal,185.0,64,1560.1,26462.4,16.65,0.355
2779,Other Kharif pulses,2008,Kharif     ,West Bengal,976.0,752,1560.1,139607.04,87.84,0.675
2780,Peas & beans (Pulses),2008,Rabi       ,West Bengal,8815.0,6731,1560.1,1260897.6,793.35,0.695333333
2782,Ragi,2008,Autumn     ,West Bengal,11732.0,13874,1560.1,1678145.28,1055.88,0.8275
2783,Ragi,2008,Rabi       ,West Bengal,972.0,802,1560.1,139034.88,87.48,0.83
2788,Safflower,2008,Rabi       ,West Bengal,350.0,270,1560.1,50064.0,31.5,0.83
2789,Sannhamp,2008,Kharif     ,West Bengal,968.0,5407,1560.1,138462.72,87.12,5.3875
2790,Sesamum,2008,Autumn     ,West Bengal,1143.0,770,1560.1,163494.72,102.87,0.658333333
2791,Sesamum,2008,Summer     ,West Bengal,200506.0,50000,1560.1,28680378.24,18045.54,0.773529412
2792,Sesamum,2008,Winter     ,West Bengal,1245.0,746,1560.1,178084.8,112.05,0.541
2793,Small millets,2008,Kharif     ,West Bengal,1068.0,735,1560.1,152766.72,96.12,0.755
2794,Small millets,2008,Rabi       ,West Bengal,1500.0,1751,1560.1,214560.0,135.0,1.27
2795,Soyabean,2008,Kharif     ,West Bengal,537.0,322,1560.1,76812.48,48.33,0.5775
2797,Sunflower,2008,Kharif     ,West Bengal,10127.0,11007,1560.1,1448566.08,911.43,1.159375
2798,Tobacco,2008,Whole Year ,West Bengal,12707.0,17999,1560.1,1817609.28,1143.63,0.676666667
2799,Turmeric,2008,Whole Year ,West Bengal,15216.0,35372,1560.1,2176496.64,1369.44,2.138888889
2800,Urad,2008,Kharif     ,West Bengal,50246.0,34769,1560.1,7187187.84,4522.14,0.629444444
2801,Urad,2008,Rabi       ,West Bengal,6765.0,5143,1560.1,967665.6,608.85,0.7125
2803,Arecanut,2009,Kharif     ,Puducherry,61.0,77,1434.5875,9505.02,10.37,1.26
2804,Bajra,2009,Kharif     ,Puducherry,29.0,49,1434.5875,4518.78,4.93,1.69
2805,Bajra,2009,Summer     ,Puducherry,31.0,62,1434.5875,4830.42,5.27,2.0
2806,Banana,2009,Kharif     ,Puducherry,285.0,10371,1434.5875,44408.7,48.45,26.09666667
2807,Black pepper,2009,Kharif     ,Puducherry,12.0,8,1434.5875,1869.84,2.04,0.67
2808,Cashewnut,2009,Kharif     ,Puducherry,171.0,146,1434.5875,26645.22,29.07,0.903333333
2810,Coriander,2009,Rabi       ,Puducherry,6.0,3,1434.5875,934.92,1.02,0.5
2811,Cotton(lint),2009,Summer     ,Puducherry,10.0,8,1434.5875,1558.2,1.7,0.89
2812,Dry chillies,2009,Kharif     ,Puducherry,1.0,1,1434.5875,155.82,0.17,1.0
2813,Dry chillies,2009,Rabi       ,Puducherry,1.0,1,1434.5875,155.82,0.17,1.0
2814,Dry chillies,2009,Summer     ,Puducherry,4.0,4,1434.5875,623.28,0.68,1.0
2815,Groundnut,2009,Kharif     ,Puducherry,25.0,47,1434.5875,3895.5,4.25,1.88
2816,Groundnut,2009,Rabi       ,Puducherry,374.0,796,1434.5875,58276.68,63.58,1.575
2817,Groundnut,2009,Summer     ,Puducherry,39.0,78,1434.5875,6076.98,6.63,1.525
2818,Jowar,2009,Kharif     ,Puducherry,6.0,9,1434.5875,934.92,1.02,1.5
2819,Moong(Green Gram),2009,Rabi       ,Puducherry,4.0,2,1434.5875,623.28,0.68,0.5
2820,Moong(Green Gram),2009,Summer     ,Puducherry,1060.0,92,1434.5875,165169.2,180.2,0.346666667
2821,Other  Rabi pulses,2009,Rabi       ,Puducherry,2.0,2,1434.5875,311.64,0.34,1.0
2822,Other  Rabi pulses,2009,Summer     ,Puducherry,1.0,1,1434.5875,155.82,0.17,1.0
2823,Other Kharif pulses,2009,Kharif     ,Puducherry,3.0,2,1434.5875,467.46,0.51,0.67
2824,Ragi,2009,Kharif     ,Puducherry,12.0,29,1434.5875,1869.84,2.04,1.775
2825,Ragi,2009,Rabi       ,Puducherry,5.0,11,1434.5875,779.1,0.85,2.2
2826,Ragi,2009,Summer     ,Puducherry,17.0,51,1434.5875,2648.94,2.89,3.0
2827,Rice,2009,Kharif     ,Puducherry,4650.0,13501,1434.5875,724563.0,790.5,2.893333333
2828,Rice,2009,Rabi       ,Puducherry,11178.0,25378,1434.5875,1741755.96,1900.26,2.903333333
2829,Rice,2009,Summer     ,Puducherry,5098.0,13451,1434.5875,794370.36,866.66,1.965
2830,Sesamum,2009,Kharif     ,Puducherry,5.0,3,1434.5875,779.1,0.85,0.6
2831,Sesamum,2009,Rabi       ,Puducherry,18.0,13,1434.5875,2804.76,3.06,0.72
2832,Sesamum,2009,Summer     ,Puducherry,224.0,211,1434.5875,34903.68,38.08,0.62
2833,Small millets,2009,Kharif     ,Puducherry,1.0,1,1434.5875,155.82,0.17,1.0
2834,Sugarcane,2009,Kharif     ,Puducherry,1785.0,50000,1434.5875,278138.7,303.45,97.28
2835,Sunflower,2009,Kharif     ,Puducherry,1.0,1,1434.5875,155.82,0.17,1.0
2836,Sweet potato,2009,Kharif     ,Puducherry,1.0,0,1434.5875,155.82,0.17,0.0
2837,Tapioca,2009,Kharif     ,Puducherry,242.0,6769,1434.5875,37708.44,41.14,18.97
2838,Tapioca,2009,Rabi       ,Puducherry,3.0,44,1434.5875,467.46,0.51,17.5
2839,Turmeric,2009,Kharif     ,Puducherry,3.0,0,1434.5875,467.46,0.51,0.0
2840,Turmeric,2009,Rabi       ,Puducherry,3.0,5,1434.5875,467.46,0.51,1.67
2841,Urad,2009,Kharif     ,Puducherry,31.0,10,1434.5875,4830.42,5.27,0.32
2842,Urad,2009,Rabi       ,Puducherry,93.0,58,1434.5875,14491.26,15.81,0.52
2843,Urad,2009,Summer     ,Puducherry,874.0,101,1434.5875,136186.68,148.58,0.626666667
2844,Arecanut,2009,Whole Year ,Andhra Pradesh,386.0,198,711.0,60146.52,65.62,0.855
2845,Arhar/Tur,2009,Kharif     ,Andhra Pradesh,438392.0,50000,711.0,68310241.44,74526.64,0.525909091
2846,Arhar/Tur,2009,Rabi       ,Andhra Pradesh,24895.0,13266,711.0,3879138.9,4232.15,0.52
2847,Bajra,2009,Kharif     ,Andhra Pradesh,33411.0,43471,711.0,5206102.02,5679.87,1.3
2848,Bajra,2009,Rabi       ,Andhra Pradesh,11938.0,9884,711.0,1860179.16,2029.46,1.296363636
2850,Cashewnut,2009,Whole Year ,Andhra Pradesh,139274.0,42703,711.0,21701674.68,23676.58,0.315
2851,Castor seed,2009,Kharif     ,Andhra Pradesh,147582.0,50000,711.0,22996227.24,25088.94,0.532352941
2853,Coriander,2009,Whole Year ,Andhra Pradesh,37468.0,20605,711.0,5838263.76,6369.56,0.695625
2856,Dry chillies,2009,Rabi       ,Andhra Pradesh,50066.0,50000,711.0,7801284.12,8511.22,3.595
2857,Garlic,2009,Whole Year ,Andhra Pradesh,530.0,1565,711.0,82584.6,90.1,2.556666667
2858,Ginger,2009,Whole Year ,Andhra Pradesh,2317.0,16674,711.0,361034.94,393.89,5.49625
2862,Horse-gram,2009,Kharif     ,Andhra Pradesh,20162.0,13170,711.0,3141642.84,3427.54,0.6
2863,Horse-gram,2009,Rabi       ,Andhra Pradesh,39303.0,23512,711.0,6124193.46,6681.51,0.508571429
2864,Jowar,2009,Kharif     ,Andhra Pradesh,184976.0,50000,711.0,28822960.32,31445.92,1.144
2865,Jowar,2009,Rabi       ,Andhra Pradesh,199858.0,50000,711.0,31141873.56,33975.86,2.016
2866,Linseed,2009,Rabi       ,Andhra Pradesh,673.0,100,711.0,104866.86,114.41,0.155
2869,Mesta,2009,Kharif     ,Andhra Pradesh,23045.0,50000,711.0,3590871.9,3917.65,8.421666667
2870,Moong(Green Gram),2009,Kharif     ,Andhra Pradesh,205281.0,21104,711.0,31986885.42,34897.77,0.167727273
2871,Moong(Green Gram),2009,Rabi       ,Andhra Pradesh,101342.0,41502,711.0,15791110.44,17228.14,0.475
2872,Niger seed,2009,Kharif     ,Andhra Pradesh,7663.0,2632,711.0,1194048.66,1302.71,0.376666667
2875,Other  Rabi pulses,2009,Rabi       ,Andhra Pradesh,2666.0,2314,711.0,415416.12,453.22,0.59
2876,Other Kharif pulses,2009,Kharif     ,Andhra Pradesh,2814.0,1269,711.0,438477.48,478.38,0.438
2877,Potato,2009,Whole Year ,Andhra Pradesh,5040.0,50000,711.0,785332.8,856.8,10.294
2878,Ragi,2009,Kharif     ,Andhra Pradesh,38906.0,41951,711.0,6062332.92,6614.02,1.08
2879,Ragi,2009,Rabi       ,Andhra Pradesh,6322.0,11751,711.0,985094.04,1074.74,1.824545455
2880,Rapeseed &Mustard,2009,Rabi       ,Andhra Pradesh,4309.0,2576,711.0,671428.38,732.53,0.3125
2883,Safflower,2009,Rabi       ,Andhra Pradesh,14273.0,6079,711.0,2224018.86,2426.41,0.4325
2884,Sesamum,2009,Kharif     ,Andhra Pradesh,47184.0,9335,711.0,7352210.88,8021.28,0.200952381
2885,Sesamum,2009,Rabi       ,Andhra Pradesh,43286.0,11397,711.0,6744824.52,7358.62,0.2655
2886,Small millets,2009,Kharif     ,Andhra Pradesh,24322.0,8590,711.0,3789854.04,4134.74,0.461818182
2887,Small millets,2009,Rabi       ,Andhra Pradesh,1114.0,1004,711.0,173583.48,189.38,0.745
2888,Soyabean,2009,Kharif     ,Andhra Pradesh,156296.0,50000,711.0,24354042.72,26570.32,0.703636364
2890,Sunflower,2009,Whole Year ,Andhra Pradesh,350523.0,50000,711.0,54618493.86,59588.91,0.929090909
2891,Sweet potato,2009,Whole Year ,Andhra Pradesh,886.0,6781,711.0,138056.52,150.62,7.28625
2892,Tapioca,2009,Whole Year ,Andhra Pradesh,11234.0,50000,711.0,1750481.88,1909.78,9.916666667
2894,Urad,2009,Kharif     ,Andhra Pradesh,82940.0,12732,711.0,12923710.8,14099.8,0.2605
2895,Urad,2009,Rabi       ,Andhra Pradesh,346178.0,50000,711.0,53941455.96,58850.26,0.640952381
2896,Wheat,2009,Rabi       ,Andhra Pradesh,9872.0,10319,711.0,1538255.04,1678.24,0.95
2897,Arecanut,2009,Whole Year ,Assam,68947.0,50000,1727.1,10743321.54,11720.99,0.981851852
2898,Arhar/Tur,2009,Kharif     ,Assam,6191.0,4408,1727.1,964681.62,1052.47,0.707037037
2900,Black pepper,2009,Whole Year ,Assam,2967.0,4398,1727.1,462317.94,504.39,1.577777778
2901,Castor seed,2009,Kharif     ,Assam,1157.0,492,1727.1,180283.74,196.69,0.427916667
2903,Cotton(lint),2009,Kharif     ,Assam,1646.0,782,1727.1,256479.72,279.82,0.51625
2904,Dry chillies,2009,Whole Year ,Assam,17111.0,11727,1727.1,2666236.02,2908.87,0.65962963
2905,Ginger,2009,Whole Year ,Assam,15690.0,50000,1727.1,2444815.8,2667.3,6.941481481
2906,Gram,2009,Rabi       ,Assam,1725.0,887,1727.1,268789.5,293.25,0.505925926
2908,Linseed,2009,Rabi       ,Assam,7003.0,3578,1727.1,1091207.46,1190.51,0.481666667
2909,Maize,2009,Kharif     ,Assam,19481.0,13981,1727.1,3035529.42,3311.77,0.617407407
2910,Masoor,2009,Rabi       ,Assam,23227.0,11661,1727.1,3619231.14,3948.59,0.498148148
2911,Mesta,2009,Kharif     ,Assam,5000.0,25437,1727.1,779100.0,850.0,4.705217391
2912,Moong(Green Gram),2009,Rabi       ,Assam,7519.0,3439,1727.1,1171610.58,1278.23,0.447037037
2913,Niger seed,2009,Kharif     ,Assam,7645.0,3925,1727.1,1191243.9,1299.65,0.51
2914,Onion,2009,Whole Year ,Assam,6785.0,15801,1727.1,1057238.7,1153.45,2.375185185
2915,Peas & beans (Pulses),2009,Rabi       ,Assam,22013.0,13412,1727.1,3430065.66,3742.21,0.623703704
2917,Rapeseed &Mustard,2009,Rabi       ,Assam,248700.0,50000,1727.1,38752434.0,42279.0,0.512962963
2921,Sesamum,2009,Kharif     ,Assam,11641.0,6603,1727.1,1813900.62,1978.97,0.493333333
2922,Small millets,2009,Kharif     ,Assam,6260.0,3246,1727.1,975433.2,1064.2,0.750384615
2924,Sweet potato,2009,Whole Year ,Assam,6806.0,23969,1727.1,1060510.92,1157.02,3.410740741
2925,Tapioca,2009,Whole Year ,Assam,3205.0,15286,1727.1,499403.1,544.85,4.463076923
2926,Tobacco,2009,Whole Year ,Assam,591.0,320,1727.1,92089.62,100.47,0.631923077
2927,Turmeric,2009,Whole Year ,Assam,13883.0,9719,1727.1,2163249.06,2360.11,0.744074074
